,date,year,month,day,title,nouns_title,press,contents
3727,2021-09-10,2021,9,10,"대구파티마병원, DGB대구은행과 ‘금융서비스와 건강증진’ 위한 협약 체결",대구 파티마 병원 DGB 은행 금융 서비스 건강 증진 협약 체결,아주경제,"대구파티마병원?DGB대구은행, 양 기관 업무협약(MOU) 이인수 기자 sinyong67@ajunews.com 대구파티마병원과 DGB대구은행이 지난 9일 병원 임원회의실에서 ‘금융서비스와 건강증진’ 위한 업무협약(MOU)을 체결했다. [사진..."
3728,2021-09-10,2021,9,10,"베스트핀-DGB대구은행, 디지털 담보대출 판매 활성화 업무협약 체결",베스트 DGB 대구 은행 디지털 담보 대출 판매 활성화 업무 협약 체결,테크월드,온·오프라인 연계 담보대출 비교 플랫폼 '담비'를 개발하고 있는 베스트핀이 금융소비자에게 다양한 주택담보대출 서비스를 제공하기 위해 DGB대구은행과 디지털 담보 대출 판매 활성화를 위한 업무협약을 체결했다고...
3729,2021-09-10,2021,9,10,신한은•IBK기업은•대구은행 등 하반기 은행권 신입공채 막 올랐다,신한 IBK 기업 대구 은행 하반기 은행권 신입 공채 오르다,워크투데이,"DGB대구은행은 2021년 6급 대졸 및 졸업예정자 전형으로 신입행원을 채용한다. 채용분야는 일반금융과 ICT 분야로 각각 두 자릿수를 뽑는다. 일반금융은 개인 및 기업고객 대상으로 금융서비스 제공을 담당하고, ICT는..."
3730,2021-09-11,2021,9,11,"베스트핀, DGB대구은행과 디지털 담보대출 활성화 업무 협약",베스트 DGB 은행 디지털 담보 대출 활성화 업무 협약,파이낸셜뉴스,"부동산 담보대출 비교 플랫폼 `담비`를 개발하고 있는 베스트핀은 DGB대구은행과 `디지털 담보대출 판매 활성화`를 위한 업무협약을 체결했다고 11일 밝혔다. 담비를 선보이는 베스트핀은 최근 SC제일은행, BNK부산은행 등과..."
3731,2021-09-11,2021,9,11,"""디지털 인재 모십니다""… 은행권 하반기 공채 개막",디지털 인재 모시다 은행권 하반기 공채 개막,머니S언론사 선정,DGB대구은행은 지난 6일부터 '2021 6급 신입행원 공개 채용'을 진행하고 메타버스 채용설명회를 개최할 예정이다. 지원서 접수 기간은 이달 16일까지이며 모집분야는 ‘일반금융’과 ‘ICT’ 2개 부문이다. 대구경북 소재...
3732,2021-09-11,2021,9,11,"인크루트, 하반기 은행권 신입 공채 정보",인크루트 하반기 은행권 신입 공채 정보,핀포인트뉴스,▲DGB대구은행은 2021년 6급 대졸 및 졸업예정자 전형으로 신입행원을 채용한다. 채용분야는 일반금융과 ICT 분야로 각각 두 자릿수를 뽑을 예정이다. 일반금융은 개인 및 기업고객 대상으로 금융서비스 제공을...
3733,2021-09-12,2021,9,12,지방은행도 ‘메타버스 바람’…가상공간서 채용·미팅·회의 진행까지,지방 은행 메타 버스 바람 가상공간 채용 미팅 회의 진행 까지,CEO스코어데일리,12일 금융권에 따르면 대구은행은 올해 신입행원 채용을 진행하고 메타버스를 활용한 채용설명회를... 김태오 DGB금융그룹 회장과 송종욱 광주은행장은 각각 메타버스를 활용해 사내 MZ세대 직원들과의 소통 창구를...
3734,2021-09-12,2021,9,12,"대구파티마병원, 대구은행과 업무협약",대구 파티마 병원 은행 업무 협약,데일리메디,대구파티마병원(병원장 김선미 골룸바 수녀)은 최근 DGB대구은행(은행장 임성훈)과 업무협약을 체결했다. 이번 업무협약은 의료와 금융을 선도하는 두 기관이 만나 상호 교류를 통해 금융서비스 제공 및 건강증진을 위한...
3735,2021-09-12,2021,9,12,"DGB대구은행 경북본부, 추석 맞아 이웃돕기 상품권 기탁",DGB 대구 은행 경북 본부 추석 맞다 이웃 돕기 상품권 기탁,경북매일신문,DGB대구은행 김철호 경북본부 대표 등은 최근 구미시청을 방문해 추석 명절을 맞아 어려운 이웃에게 전달해 달라며 온누리 상품권 1천만원을 기탁했다.
3736,2021-09-13,2021,9,13,하반기 은행권 신입공채 모집…신한은행·IBK·DGB,하반기 은행권 신입 공채 모집 신한은행 IBKDGB,뉴시스,DGB대구은행도 6급 대졸 및 졸업예정자 전형으로 신입행원을 채용한다. 채용분야는 일반금융과 ICT 분야로 각각 두 자릿수를 뽑는다. 일반금융은 개인 및 기업고객 대상으로 금융서비스 제공을 담당하고 ICT는...
3737,2021-09-13,2021,9,13,"[더벨]'마이데이터 장착' DGB대구은행, 지역금융 차별화 집중",더벨 마이 데이터 장착 DGB 대구 은행 지역 금융 차별 집중,더벨,DGB대구은행이 지방은행 중 세 번째로 마이데이터 사업자 승인을 얻어냈다. 기본적인 자산관리(WM) 서비스 뿐 아니라 지역화폐에 위치기반서비스를 탑재한 마이데이터 사업으로 지방금융으로서의 차별화를 꾀할 계획이다....
3738,2021-09-13,2021,9,13,"대구은행, 사내변호사·감정평가사 전문역 모집",대구 은행 사내변호사 감정평가사 전문 모집,데일리안,"DGB대구은행은 내부통제 및 금융소비자 보호 강화, 전문분야 특화를 위해 사내변호사와 감정평가사 전문역을 공개 채용한다고 13일 밝혔다. 분야별 경력 2년 이상인 사람으로 학벌 및 성별, 나이 제한은 없으며, 대구은행..."
3739,2021-09-13,2021,9,13,"DGB대구은행, 사내변호사·감정평가사 전문역 모집",DGB 대구 은행 사내변호사 감정평가사 전문 모집,뉴스웨이,"DGB대구은행이 이달 24일까지 사내변호사와 감정평가사 전문역을 공개 채용한다고 13일 밝혔다. 이번 채용은 분야별 경력 2년 이상인 사람을 대상으로 한다. 학벌과 성별·나이 제한은 없고, 대구은행 인재상에 부합하는..."
3740,2021-09-13,2021,9,13,"DGB대구은행, 사내변호사·감정평가사 전문역 모집",DGB 대구 은행 사내변호사 감정평가사 전문 모집,뉴시스,"DGB대구은행은 내부통제 및 금융소비자 보호 강화, 전문분야 특화를 위해 사내변호사 및 감정평가사 전문역을 공개 채용한다고 13일 밝혔다. 공개 채용하는 전문역은 분야별 경력 2년 이상인 사람으로 학벌 및 성별..."
3741,2021-09-13,2021,9,13,"DGB대구은행, 사내변호사·감정평가사 전문역 모집",DGB 대구 은행 사내변호사 감정평가사 전문 모집,국제뉴스,"대구은행 본점 DGB대구은행(은행장 임성훈)은 이달 24(금)일까지 내부통제 및 금융소비자 보호 강화, 전문분야 특화를 위해 사내변호사 및 감정평가사 전문역을 공개 채용한다고 밝혔다. 분야별 경력 2년 이상인 사람으로..."
3742,2021-09-13,2021,9,13,"DGB대구은행, 사내변호사 · 감정평가사 전문역 모집",DGB 대구 은행 사내변호사 감정평가사 전문 모집,대한금융신문,"DGB대구은행(은행장 임성훈)은 이달 24(금)일까지 내부통제 및 금융소비자 보호 강화, 전문분야 특화를 위해 사내변호사 및 감정평가사 전문역을 공개 채용한다고 밝혔다. 분야별 경력 2년 이상인 사람으로 학벌 및..."
3743,2021-09-13,2021,9,13,대구은행 사내변호사·감정평가사 전문역 공개 채용,대구 은행 사내변호사 감정평가사 전문 공개 채용,신아일보,"DGB대구은행은 내부통제 및 금융소비자 보호 강화·전문분야 특화를 위해 사내변호사 및 감정평가사 전문역을 공개 채용한다고 13일 밝혔다. 공개 채용하는 전문역은 분야별 경력 2년 이상인 사람으로 학벌 및 성별, 나이..."
3744,2021-09-13,2021,9,13,"DGB대구은행, 사내변호사·감정평가사 전문역 모집",DGB 대구 은행 사내변호사 감정평가사 전문 모집,시장경제신문,"학벌·성별 제한 없어 [시장경제=양일국 기자] 사진=DGB대구은행 제공 DGB대구은행은 이달 24일까지 내부통제, 금융소비자 보호 강화, 전문분야 특화를 위해 사내변호사와 감정평가사 전문역을 공개 채용한다고 13일..."
3745,2021-09-13,2021,9,13,"DGB대구은행, 사내변호사‧감정평가사 전문역 모집",DGB 대구 은행 사내변호사 감정평가사 전문 모집,컨슈머타임스,"DGB대구은행이 금융소비자 보호 강화를 위해 사내변호사‧감정평가사 전문역을 공개 채용한다.  DGB대구은행은 이달 24일까지 내부통제 및 금융소비자 보호 강화, 전문분야 특화를 위해 사내변호사 및 감정평가사..."
3746,2021-09-13,2021,9,13,"[SR경제&라이프] 대구은행, '사내변호사·감정평가사' 공개채용",SR 경제 라이프 대구 은행 사내변호사 감정평가사 공개 채용,SR타임스,"- 내부통제 및 금융소비자 보호 강화 DGB대구은행은 내부통제 및 금융소비자 보호 강화, 전문분야 특화를 위해 사내변호사 및 감정평가사 전문역을 공개 채용한다고 13일 밝혔다. 공개 채용하는 전문역은 분야별 경력 2년..."
3747,2021-09-13,2021,9,13,"[대한민국 굿 잡스] DGB대구은행, 사내변호사·감정평가사 전문역 모집…10월...",대한민국 잡스 DGB 대구 은행 사내변호사 감정평가사 전문 모집 10월,뉴스락,"DGB대구은행 수성동 본점 전경. 사진 DGB대구은행 제공 [뉴스락] DGB대구은행은 이달 24일까지 내부통제 및 금융소비자 보호 강화, 전문분야 특화를 위해 사내변호사 및 감정평가사 전문역을 공개 채용한다고 13일 밝혔다...."
3748,2021-09-13,2021,9,13,"DGB대구은행, 사내변호사·감정평가사 전문역 모집",DGB 대구 은행 사내변호사 감정평가사 전문 모집,EBN,"DGB대구은행은 오는 24일까지 내부통제 및 금융소비자 보호 강화, 전문분야 특화를 위해 사내변호사 및 감정평가사 전문역을 공개 채용한다고 밝혔다. 분야별 경력 2년 이상인 사람으로 학벌 및 성별, 나이 제한은 없으며..."
3749,2021-09-13,2021,9,13,"DGB대구은행, '사내변호사 · 감정평가사 전문역' 모집",DGB 대구 은행 사내변호사 감정평가사 전문 모집,지이코노미,"이달 24일까지 G.ECONOMY(지이코노미) 홍종락 기자 | DGB대구은행은 이달 24일까지 내부통제 및 금융소비자 보호 강화, 전문분야 특화를 위해 사내변호사 및 감정평가사 전문역을 공개 채용한다고 밝혔다...."
