,date,year,month,day,nouns_contents,raw_label,predict_label
0,2019-05-01,2019,5,1,DGB 대 구 은행 30일 대전 지점 대전광역시 서구 문예로 65 을 개점 하고 국토 및 교통 중심지 충청 지역 진출 신호탄 을 알리다 DGB 대 구 은행 서울 지역 3 개점 서울 영업 부 강남 영업 부 여의도 지점 경인 지역 5 개점,긍정,긍정
1,2019-05-01,2019,5,1,대 구 은행 30일 대 전시 서구 대 전 지점 을 개점 대 구 은행 서울 지역 3 개점 서울 영업 부 1 ㎞ 내 DGB 금융 그룹 계열 사인 하이 투자 증권 DGB 생명 DGB 캐피탈 근접하다 또 대 전 사 회복 공 동 모 금회 1000만,긍정,긍정
2,2019-05-01,2019,5,1,DGB 대 구 은행 지난달 30일 대 전 지점 을 개점 하고 국토 및 교통 중심지 충청 지역 진출 신호탄 을 알리다 DGB 대 구 은행 서울 지역 3 개점 서울 영업 부 강남 영업 부 여의도 지점 경인 지역 5 개점 반월 공 단 지점,긍정,긍정
3,2019-05-02,2019,5,2,DGB 금융 관계자 불안정하다 대 내외 경제 여건 속 에서도 이번 실적 선방 지난해 말 인수 하이 투자 증권 을 포함 비 非 은행 계 열사 견조 이익 때문 것 분석 되다 말 대구 銀,중립,긍정
4,2019-05-02,2019,5,2,DGB 금융 그룹 회장 김태오 2일 실적 발표 통해 2019년 1분 기 그룹 연결 기준 순이익 전 년 동기 대비 그룹 주력 계열 사인 대다 구 은행 영업 이익 당기다 순이익 각각 1150억원 878억원 전 년 동기 대비,중립,긍정
5,2019-05-02,2019,5,2,이투데이 곽진 산 기자 DGB 금융 그룹 올해 1분 기 1038억 원 순이익 을 기록 전 년 동기 대비 131 반면 그룹 주력 계열 사인 대 구 은행 영업 이익 당 기 순이익 각각 1150억 원 878억 원 전 년 동기 대비,중립,긍정
6,2019-05-02,2019,5,2,지난주 4 대다 금융 주의 1분 기 성적표 발표 되다 데 이다 지방 금융 지주 3 사의 1분 기 실적 2일 DGB 금융 을 그룹 주력 계열 사인 대 구 은행 영업 이익 당기다 순이익 각각 1150억원 878억원 전 년 동기 대비,중립,중립
7,2019-05-02,2019,5,2,DGB 금융 그룹 올해 1분 기 그룹 연결 기준 순이익 전 년 동기 대비 131% 증가 천 38억원 을 기록 그룹 주력 계열 사인 대 구 은행 영업 이익 당기다 순이익 각각 천 150억원 878억원 전 년 동기 대비,긍정,긍정
8,2019-05-02,2019,5,2,1038억원 131% 증가 하이 투자 증권 등 비 은행 약진 DGB 금융 그룹 회장 김태오 오다 1분 기에 계열 사별 실적 을 보다 대 구 은행 전 년 동기 955억원 대비 81% 감소 878억원 순 익 을 내다 그치다 다만,중립,긍정
9,2019-05-02,2019,5,2,뉴데일리 차다 형 기자 비 은행 을 강화하다 DGB 금융 주가 뚜렷하다 실적 개선 을 이루다 내다 2일 DGB 금융 지주 실제 주력 계열 사인 대 구 은행 영업 이익 당 기 순이익 각각 1150억원 878억원 을 기록 데 그치다,긍정,긍정
