,date,year,month,day,nouns_contents,raw_label,predict_label
0,2019-05-01,2019,5,1,DGB 대 구 은행 30일 대전 지점 대전광역시 서구 문예로 65 을 개점 하고 국토 및 교통 중심지 충청 지역 진출 신호탄 을 알리다 DGB 대 구 은행 서울 지역 3 개점 서울 영업 부 강남 영업 부 여의도 지점 경인 지역 5 개점,긍정,부정
1,2019-05-01,2019,5,1,DGB 대 구 은행 엊그제 둔산동 대전 지역 1 호 점포 개설 하고 충청권 영업 본격 나서다 대 전 지점 이미 지역 진출 DGB 금융 그룹 계열 사인 하이 투자 증권 DGB 생명 DGB 캐피탈 과도 근접하다 있다 전북 은행 부산 은행,긍정,긍정
2,2019-05-02,2019,5,2,2일 DGB 금융 그룹 따르다 대구 은행 올해 1분 기 영업 이익 1150억원 당 기 순이익 878억원 이다 이다 지난해 동기 비교 때 각각 77% 81% 줄다   대손 충당금 45% 감소 425억원 이다 총 대출,부정,긍정
3,2019-05-02,2019,5,2,경기 악화 대한 전망 확산 되다 대외 경제 역시 불확실 성 지속 되다 있다 수익 성 및 건전성 관리 최선 을 뜻 을 밝히다 DGB 금융 그룹 주요 경영 지표 현황 누적 대구 은행 주요 경영 지표 현황 누적,긍정,긍정
4,2019-05-02,2019,5,2,DGB 금융 그룹 올해 1분 기 그룹 연결 기준 순이익 전 년 동기 대비 131% 증가 천 38억원 을 기록 그룹 주력 계열 사인 대 구 은행 영업 이익 당기다 순이익 각각 천 150억원 878억원 전 년 동기 대비,긍정,긍정
5,2019-05-02,2019,5,2,DGB 금융 그룹 2019년 1분 기 하이 투자 증권 그룹 편입 비 은행 자회사 실적 개선 힘 입다 지난해 핵심 자회사 대 구 은행 1분 기 순이익 전 년 동기 955억원 대비 81% 감소 878억원 을 기록 지역,긍정,긍정
6,2019-05-02,2019,5,2,DGB 금융 지난해 10월 하이 투자 증권 을 자회사 로 편입 바 있다 주력 계열 사인 대 구 은행 영업 이익 당 기 순이익 각각 1150억원 878억원 전 년 동기 대비 각각 77% 81% 감소 DGB 금융 그룹 대손,부정,긍정
7,2019-05-02,2019,5,2,주력 계열 사인 대 구 은행 영업 이익 1150억원 전 년 대비 77% 줄다 순이익 878억원 81% 감소 다만 DGB 금융 대손 충당금 45% 줄어들다 425억원 을 기록 향후 적정 성장 성 회복 시 순이익,긍정,긍정
8,2019-05-02,2019,5,2,DGB 금융 그룹 2019년 1분 기 그룹 연결 기준 순이익 전 년 동기 대비 131% 증가 1038억원 을 기록 그룹 주력 계열 사인 대 구 은행 영업 이익 당기다 순이익 각각 1150억원 878억원 전 년 동기 대비,긍정,긍정
9,2019-05-02,2019,5,2,DGB 금융 그룹 2일 올해 1분 기 1천 38억원 당 기 순이익 을 거두다 밝히다 이다 지난해 같다 기간 보다 13 핵심 계열 사인 대 구 은행 당 기 순이익 878억원 영업 이익 1천 150억원 을 기록 같다 기간 대손,긍정,긍정
10,2019-05-02,2019,5,2,DGB 금융 그룹 올해 1분 기 연결 기준 순이익 전 년 동기 918억원 대비 131% 증가 1038억원 을 기록 그룹 주력 계열 사인 대 구 은행 영업 이익 1150억원 당 기 순이익 878억원 전 년 동기 대비 각각 77,긍정,부정
11,2019-05-02,2019,5,2,DGB 금융 그룹 2일 실적 발표 통해 2019년 1분 기 그룹 연결 기준 순이익 전 년 동기 대비 131% 증가 그룹 주력 계열 사인 대다 구 은행 영업 이익 당기다 순이익 각각 1150억원 878억원 전 년 동기 대비,긍정,긍정
12,2019-05-03,2019,5,3,DGB 금융 그룹 회장 김태오 올해 1분 기 그룹 연결 기준 순이익 전 년 동기 961억원 대비 131% 증가 그룹 주력 계열 사인 대 구 은행 영업 이익 당기다 순이익 각각 1150억원 878억원 전 년 동기,긍정,긍정
13,2019-05-03,2019,5,3,DGB 금융 주의 1분 기 연결 기준 영업 이익 천 330억 원 지난해 같다 기간 보다 28% 증가 것 잠정 5% 늘다 그러나 주력 계열 사인 대 구 은행 영업 이익 천 150억 원 77% 줄다 허성준,긍정,긍정
14,2019-05-03,2019,5,3,3일 금융 권 따르다 대 구 경북 거점 을 두다 DGB 금융 올해 1분 기 연결 기준 당 기 순이익 전 년 동기 대비 131% 증가 1038억원 을 기록 밝히다 주력 계열 사인 대 구 은행 영업 이익 당 기 순이익 각각,긍정,긍정
15,2019-05-03,2019,5,3,강혜승 미래에셋 대우 연구원 이번 실적 에는 하이 투자 증권 충당금 환입 45억원 DGB 생명 업무 동 부동산 매각 이익 54억원 반영 돼다 대 구 은행 퇴직 임원 미지 급 상여금 13억원 판관 비 증가 로 인하다 순이익,부정,긍정
16,2019-05-03,2019,5,3,연구원 DGB 생명 지방 사옥 매각 따르다 일 회 성 이익 늘어나다 DGB 대구 은행 원화 대출 증가 율 09% 로 기대 에는 못 미치다 연간 목표 달성 가능하다 수준 이라고 말 DGB 생명 하이 투자 증권 변화,긍정,긍정
17,2019-05-04,2019,5,4,직원 내주 중   시설 복지 활동 을 진행 예정 이다   DGB 행복 드리다 DGB 금융 그룹 DGB 대구 은행 창립 기념일 을 기념 진행 대표 이웃 사랑 운동 이다 그룹 계 열사 봉사 단 다양하다 곳 에서 사랑 을 실천 하고 있다,긍정,긍정
18,2019-05-04,2019,5,4,신 보 DGB 대 구 은행 을 통 지역 기업 매출채권 을 인수 대 구 은행 2015년 9월 맞춤 형 보험 협약 을 체결 면서 부터 협업 진행 돼다 지역 중소기업 사정 을 자다 알다 대 구 은행 매출 보험 가입 필요하다 기업 을,긍정,긍정
19,2019-05-07,2019,5,7,DGB 대 구 은행 7일 대구 은행 제 2 본점 에서 핀 크다 SK 텔레콤 함께 디지털 금융 활성화 위 업무 협약 을 체결 7일 DGB 대구 은행 제 2 본점 에서 왼쪽 부터 황병욱 DGB 대구 은행 부행 장 한명진 SK 텔레콤 그룹 장 권 영 탁,긍정,부정
20,2019-05-07,2019,5,7,DGB 대 구 은행 7일 DGB 대구 은행 제 2 본점 에서 ㈜ 핀 크다 SK 텔레콤 ㈜ 함께 디지털 금융 활성화 위 업무 협약 을 체결 ㈜ 핀 크다 생활 금융 플랫폼 핀 크다 finnq 통해 이용 고객 자산 을 한눈 확인 수 있다,긍정,긍정
21,2019-05-07,2019,5,7,DGB 대 구 은행 7일 DGB 대구 은행 제 2 본점 에서 핀 크다 SK 텔레콤 함께 디지털 금융 활성화 위 업무 협약 을 체결 생활 금융 플랫폼 핀 크다 이용 고객 자산 을 한눈 확인 수 있다 자산 모니터링 서비스 등 고객,긍정,긍정
22,2019-05-07,2019,5,7,황병욱 왼쪽 DGB 대구 은행 부행 장이 한명진 SK 텔레콤 그룹 장 권 영 탁 핀 크다 부사 장 함께 업무 협약 체결 후 기념 촬영 을 있다 사진 대구 은행 7일 대구 은행 제 2 본점 에서 ㈜ 핀 크다 SK 텔레콤 주 함께,긍정,긍정
23,2019-05-07,2019,5,7,DGB 대 구 은행 은행 장 김태오 ㈜ 핀 크다 대표 민 응준 SK 텔레콤 ㈜ 대표 박정호 함께 디지털 금융 활성화 위 업무 협약 을 체결 ㈜ 핀 크다 가입자 수 200만 명을 돌파 생활 금융 플랫폼 핀 크다 finnq 서비스,긍정,긍정
24,2019-05-07,2019,5,7,조인호 기자 DGB 대 구 은행 은행 장 김태오 7일 DGB 대구 은행 제 2 본점 에서 핀 크다 대표 민 응준 SK 텔레콤 대표 박정호 함께 디지털 금융 활성화 위 업무 협약 을 체결 핀 크다 생활 금융 플랫폼 핀 크다 finnq 통해,긍정,긍정
25,2019-05-07,2019,5,7,DGB 대 구 은행 7일 대구 은행 제 2 본점 에서 핀 크다 SK 텔레콤 함께 디지털 금융 활성화 위 업무 협약 을 체결 밝히다 핀 크다 하나 금융 지주 SK 텔레콤 출자 만들다 핀 테크 기업 자산 모니터링 서비스 등,긍정,긍정
26,2019-05-08,2019,5,8,DGB 대 구 은행 은행 장 김태오 8일 어버이날 을 맞다 대구 적십자사 회장 송준기 함께 두 류 공원 무료 급식 소 에서 사랑 급식 봉사 활동 을 벌이다,긍정,긍정
27,2019-05-08,2019,5,8,DGB 대 구 은행 은행 장 김태오 지난 7일 대구 은행 본점 에서 기술 보증 기금 대 구 경북 본부 함께 기술 기반 기업 성 장지원 을 위 업무 협약 을 체결 이번 협약 DGB 대 구 은행 기술 신용 평가 TCB 역량,긍정,긍정
28,2019-05-08,2019,5,8,삼 성 자산운용 DGB 대 구 은행 협업 을 통해 대구 은행 전용 펀드 솔루션 서비스 출시 8일 밝히다 대 구 은행 해당 플랫폼 을 통해 투자자 에게 ▲ 개별 펀드 상품 정보 ▲ 추천 포트폴리오 ▲ 시뮬레이션 ▲ 성과,긍정,긍정
29,2019-05-08,2019,5,8,DGB 금융 지주 대 구 은행 임원   김태오 회장 대한 충성 심 경쟁 에만 치중 나머지 추락 하고 있다 영업 실적 뒷전 이라는 지적 끊다 않다 있다 DGB 금융 그룹 지난해 12월 부터 인사 제도 혁신,긍정,긍정
30,2019-05-08,2019,5,8,원   DGB 대구 은행 펫 러브 카드   반려동물 병원 이용 시 20% 청구 할인 용품 식품 미용 등 반려동물 업종 10% 청구 할인 DGB Pet Love 카드 운용 이익 10% 반려동물 사랑 기 금조 성 연 회비 BC GLOBAL 2000원 MASTER 5000원,긍정,긍정
31,2019-05-08,2019,5,8,행사 사내 행정 망 을 통한 대구 은행 직원 뿐 아니다 DGB 금융 그룹 전체 홍보 등 적극 적 마케팅 활동 직원 많다 관심 참여 있다 대구 은행 문 경 지점 행사 기간 내내 축제 장 을 찾다 방문객,긍정,긍정
32,2019-05-08,2019,5,8,DGB 대 구 은행 기술 보증 기금 대 구 경북 본부 기술 기반 기업 성장 지원 을 위 업무 협약 을 체결 8일 밝히다 이번 협약 대 구 은행 기술 신용 평가 TCB 역량 기술 보증 기금 보증 투자 기능 을 연 계해 기업 을,긍정,긍정
33,2019-05-08,2019,5,8,삼 성 자산운용 DGB 대 구 은행 협업 대구 은행 전용 펀드 솔루션 서비스 출시 8일 밝히다 삼 성 자산운용 지난 2017년 개발 펀드 솔루션 삼성 자산운용 펀드 외 타다 상품 등 펀드 관 통합 정보,긍정,긍정
34,2019-05-08,2019,5,8,DGB 대 구 은행 8일 어버이날 을 맞다 대 구 적십자사 함께 두 류 공원 무료 급식 소 에서 사랑 급식 봉사활동 을 DGB 대구 은행 직원 로 구성 되다 DGB 동행 봉사 단 대구 적십자사 자원봉사자 60 여명 참여 날,긍정,긍정
35,2019-05-08,2019,5,8,DGB 대 구 은행 7일 대구 은행 본점 에서 기술 보증 기금 대 구 경북 본부 기술 기반 기업 성 장지원 을 위 업무 협약 을 체결 밝히다 이번 협약 DGB 대 구 은행 기술 신용 평가 TCB 역량 기술 보증 기금 보증 투자,긍정,긍정
36,2019-05-08,2019,5,8,전망 향후 대 구 지역 지점 추가 되다 은행 과의 시너지 효과 증가 가능 해보다 예상 하이 투자 증권 인수 기다 시간 공 을 들이다 DGB 금융 함박 웃음 을 지다 하이 투자 증권 인수 로 비 은행,긍정,긍정
